City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,San Cristobal,VE,7.7669,-72.225,64.58,90,19,2.28,few clouds
147,Kilindoni,TZ,-7.9139,39.6668,82.24,74,100,12.66,overcast clouds
148,Ponta Do Sol,PT,32.6667,-17.1,64.13,29,100,7.99,overcast clouds
149,Fiumicino,IT,41.7675,12.2291,43.07,77,0,14.97,clear sky
150,Khandyga,RU,62.6667,135.6,-35.18,95,100,0.87,overcast clouds
151,Lupiro,TZ,-8.3833,36.6667,73.6,89,100,1.66,overcast clouds
152,Hobart,AU,-42.8794,147.3294,72.1,73,75,1.99,broken clouds
153,Klaksvik,FO,62.2266,-6.589,45.52,86,100,39.73,overcast clouds
154,Adrar,MR,20.5022,-10.0711,57.56,14,100,8.5,overcast clouds
155,Puri,IN,19.8,85.85,66.72,67,1,5.03,clear sky
156,San Ramon,US,37.7799,-121.978,52.52,89,0,4.61,clear sky
157,Hofn,IS,64.2539,-15.2082,39.61,97,100,25.99,heavy intensity rain
158,Progreso,MX,21.2833,-89.6667,78.91,85,9,10.8,clear sky
159,High Rock,BS,26.6208,-78.2833,69.82,70,100,13.91,overcast clouds
160,Coquimbo,CL,-29.9533,-71.3436,64.13,82,75,5.75,broken clouds
161,Knysna,ZA,-34.0363,23.0471,70.18,68,100,3.56,overcast clouds
162,Luderitz,NA,-26.6481,15.1594,62.13,97,21,4.12,few clouds
163,Nome,US,64.5011,-165.4064,5.07,51,0,34.52,clear sky
164,Flinders,AU,-34.5833,150.8552,85.17,77,71,5.99,broken clouds
165,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.75,88,87,7.65,overcast clouds
166,Tieling,CN,42.2931,123.8414,16.36,41,99,10.13,overcast clouds
167,Nemuro,JP,43.3236,145.575,27.03,58,0,12.48,clear sky
168,Cabo San Lucas,MX,22.8909,-109.9124,70.61,83,100,3.44,overcast clouds
169,Bredasdorp,ZA,-34.5322,20.0403,64.27,85,53,3.53,broken clouds
170,Jak,HU,47.1425,16.5815,32.7,86,100,4.56,overcast clouds
171,Carira,BR,-10.3608,-37.7011,71.08,94,99,6.8,overcast clouds
172,Honda,CO,5.2086,-74.7358,73.02,91,86,2.04,overcast clouds
173,Faanui,PF,-16.4833,-151.75,81.3,78,81,15.1,light rain
174,Maidens,GB,55.3338,-4.8147,44.15,91,100,8.01,overcast clouds
175,Tezu,IN,27.9167,96.1667,74.5,35,75,3.53,broken clouds
176,Takoradi,GH,4.8845,-1.7554,79.79,81,91,4.68,overcast clouds
177,Soure,BR,-0.7167,-48.5233,74.88,91,100,6.33,overcast clouds
178,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,75,10.36,light snow
179,Hamilton,US,39.1834,-84.5333,28.24,66,0,1.99,clear sky
180,Mukhen,RU,48.1,136.1,2.25,84,52,2.91,broken clouds
181,Qaqortoq,GL,60.7167,-46.0333,18.1,79,93,2.24,overcast clouds
182,Sabha,LY,27.0377,14.4283,41.88,39,1,10.4,clear sky
183,Cap-Haitien,HT,19.7578,-72.2042,76.44,76,63,13.04,broken clouds
184,Amazar,RU,53.858,120.875,-3.95,72,34,3.18,scattered clouds
185,Nsukka,NG,6.8561,7.3927,69.84,76,42,0.89,scattered clouds
