City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,Pundaguitan,PH,81.32,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
64,Atuona,PF,79.09,light rain,-9.8,-139.0333,Villa Enata
65,Bubaque,GW,78.94,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
68,Mount Gambier,AU,91.31,broken clouds,-37.8333,140.7667,The Commodore
69,Cape Town,ZA,68.41,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
70,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Port Alfred,ZA,72.1,overcast clouds,-33.5906,26.891,The Halyards Hotel
72,Kimbe,PG,82.44,light rain,-5.5502,150.1429,Kimbe Bay Hotel
73,Bengkulu,ID,83.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
77,Karratha,AU,92.68,clear sky,-20.7377,116.8463,ibis Styles Karratha
78,Casa Nova,BR,73.38,light rain,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
80,Bahia Honda,CU,73.36,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
81,New Norfolk,AU,71.74,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
83,Chuy,UY,67.37,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
88,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
89,Puerto Ayora,EC,72.73,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Saldanha,ZA,64.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
92,Saint-Pierre,RE,81.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
94,Codrington,AU,72.68,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
97,Digha,IN,74.93,clear sky,21.6833,87.55,Khoniker Atithi
98,Mount Pleasant,US,68.05,clear sky,32.7941,-79.8626,Best Western Patriots Point
100,Salalah,OM,69.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
101,Te Anau,NZ,72.07,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
103,Georgetown,MY,85.98,few clouds,5.4112,100.3354,Cititel Penang
104,Wanning,CN,75.72,few clouds,18.8003,110.3967,Paradise Hotel
105,Mar Del Plata,AR,72.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
109,Saint-Philippe,RE,81.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
111,Lorengau,PG,83.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
